name,sg_total,sigma,source,notes
Jon Rahm,1.9,2.5,DataGolf/LIV-2026,DataGolf ~world #5; runaway LIV points leader; T-2 2026 PGA Champ
Bryson DeChambeau,1.8,2.8,DataGolf/LIV-2026,LIV #2 in points; major winner; high-variance bomber
Tyrrell Hatton,1.5,2.6,DataGolf/majors-2026,T-3 2026 Masters; most consistent LIV player in majors
Joaquin Niemann,1.4,2.8,DataGolf/LIV-2026,LIV #3; multiple LIV wins but thin major conversion
Cameron Smith,1.0,2.8,LIV-2026,2022 Open champ; form dipped, mid-pack LIV in 2026
Brooks Koepka,1.0,3.0,majors-2026,Major pedigree but poor 2026 form; high variance
Dean Burmester,0.8,2.8,LIV-2026,Mid-pack LIV; multiple LIV wins
Abraham Ancer,0.7,2.7,LIV-2026,Steady LIV performer
David Puig,0.7,2.9,LIV-2026,Young LIV talent trending up
Dustin Johnson,0.7,2.8,LIV-2026,Former world #1; clear decline in 2026
Patrick Reed,0.7,2.8,LIV-2026,Streaky; solid LIV results
Sergio Garcia,0.6,2.8,LIV-2026,Veteran; occasional major contention
Louis Oosthuizen,0.6,2.8,LIV-2026,Declining; links pedigree lifts Open ceiling
Talor Gooch,0.6,2.8,LIV-2026,Down from 2023 LIV points-leader peak
Adrian Meronk,0.6,2.8,LIV-2026,Solid ex-DPWT; steady LIV
Carlos Ortiz,0.6,2.8,LIV-2026,Recent LIV winner
Thomas Pieters,0.3,2.8,LIV-2026,Inconsistent
Phil Mickelson,0.2,2.9,LIV-2026,Age 55; rare major spark only
Rasmus Hojgaard,0.6,2.8,OWGR-2026,DPWT; OWGR ~57 -> field-relative SG ~0.58
Nicolai Hojgaard,0.5,2.8,OWGR-2026,DPWT; OWGR ~75; Ryder Cup 2023
Thriston Lawrence,0.5,2.8,OWGR-2026,DPWT; OWGR ~70; strong links form
Victor Perez,0.4,2.7,OWGR-2026,DPWT; OWGR ~90; solid all-round
